Field,Label,Value
resource_10_resource_type,Resource Type,file.upload
resource_10_name,Resource Name,Maternal and reproductive health Indicators for Nigeria
resource_10_mimetype,MIME Type,
resource_10_size,Size,65.0K
resource_11_created,Created,2020-07-02T11:03:31.667904
resource_11_description,Description,"Air pollution: Household air pollution attributable deaths, Household air pollution attributable DALYs, Joint effects of air pollution attributable deaths, Household air pollution attributable DALYs (per 100 000, age-standardized), Ambient air pollution attributable deaths, Ambient air pollution attributable death rate (per 100 000 population, age-standardized), Household air pollution attributable death rate (per 100 000 population, age-standardized), Household and ambient air pollution attributable DALYs, Household and ambient air pollution attributable DALYs (per 100 000 capita, age-standardized), Ambient air pollution attributable DALYs, Ambient air pollution attributable DALYs  (per 100 000 population, age-standardized), Population with primary reliance on fuels and technologies for cooking, by fuel type (in millions), Population with primary reliance on clean fuels and technologies for cooking (in millions), Population with primary reliance on polluting fuels and technologies for cooking (in millions), Proportion of population with primary reliance on fuels and technologies for cooking, by fuel type (%), Proportion of population with primary reliance on clean fuels and technologies for cooking (%), Proportion of population with primary reliance on polluting fuels and technologies for cooking (%), Concentrations of fine particulate matter (PM2.5), Mortality rate attributed to unintentional poisoning (per 100 000 population), Mortality rate attributed to exposure to unsafe WASH services (per 100 000 population) (SDG 3.9.2)"
resource_11_format,File Format,CSV
resource_11_download_url,Download URL,https://data.humdata.org/dataset/13d91947-4498-468f-9752-7c80fc2d9bd5/resource/121cd9b4-a1f9-4dd6-b43c-6de6df018a2d/download/air_pollution_indicators_nga.csv
resource_11_id,Resource ID,121cd9b4-a1f9-4dd6-b43c-6de6df018a2d
resource_11_last_modified,Updated,2025-09-29T17:08:35.219551
resource_11_metadata_modified,Metadata Updated,2025-09-29T17:14:36.704930
resource_11_microdata,Microdata,False
resource_11_dataset_id,Dataset ID,13d91947-4498-468f-9752-7c80fc2d9bd5
resource_11_resource_type,Resource Type,file.upload
resource_11_name,Resource Name,Air pollution Indicators for Nigeria
resource_11_mimetype,MIME Type,
resource_11_size,Size,1.3M
resource_12_created,Created,2020-03-11T10:00:58.329936
resource_12_description,Description,"Assistive technology: Existence of legislation on access to assistive technology, Coverage of people in need of assistive technology by legislation, Availability of public funding for assistive technology, Existence of responsible ministry/authority on assistive technology, Availability of government/registered services for assistive technology, Workforce availability for assistive technology, Availability of education/training for assistive technology, Existence of financial mechanisms for assistive technology, Existence of regulations/standards/guidelines/protocols on assistive technology, Existence of initiatives/collaborations on assistive technology"
resource_12_format,File Format,CSV
resource_12_download_url,Download URL,https://data.humdata.org/dataset/13d91947-4498-468f-9752-7c80fc2d9bd5/resource/e65d83d1-46fe-4915-a57e-b1ec10ecadba/download/assistive_technology_indicators_nga.csv
resource_12_id,Resource ID,e65d83d1-46fe-4915-a57e-b1ec10ecadba
resource_12_last_modified,Updated,2025-09-29T17:08:35.447282
resource_12_metadata_modified,Metadata Updated,2025-09-29T17:14:37.768964
resource_12_microdata,Microdata,False
resource_12_dataset_id,Dataset ID,13d91947-4498-468f-9752-7c80fc2d9bd5
resource_12_resource_type,Resource Type,file.upload
resource_12_name,Resource Name,Assistive technology Indicators for Nigeria
resource_12_mimetype,MIME Type,
resource_12_size,Size,30.4K
resource_13_created,Created,2020-03-11T10:00:58.329880
resource_13_description,Description,"Dementia diagnosis, treatment and care: Total density per 100 000 population: Hospitals, Existence of dementia national nongovernmental organization, Dementia nongovernmental organization equipped with office, Dementia nongovernmental organization office branches (Sub-national), Dementia nongovernmental organization office branches (Local), Dementia nongovernmental organization office branches (National only), Dementia nongovernmental organization staff primarily salaried/volunteer, Provision of governmental funding to dementia nongovernmental organization for activities/services, Dementia nongovernmental organization's involvement in policy development, Implementation level of dementia standards/ guidelines/ protocols (National), Implementation level of dementia standards/ guidelines/ protocols (Sub-national), Existence of approved government dementia standards/ guidelines/ protocols, Existence of standards/ guidelines/ protocols for prevention and risk reduction of dementia, Existence of standards/ guidelines/ protocols for diagnosis of dementia, Existence of standards/ guidelines/ protocols for management of dementia, Existence of standards/ guidelines/ protocols for other post-diagnostic supports of people with dementia, Existence of standards/ guidelines/ protocols for treatment and support of carers and families of people with dementia, Existence of standards/ guidelines/ protocols for advance care directives, power of attorney or guardianship for people with dementia, Existence of standards/ guidelines/ protocols for palliative and end-of-life care for people with dementia, Existence of standards/ guidelines/ protocols of care in nursing &amp; residential care facilities for people with dementia, Existence of standards/ guidelines/ protocols of care in hospital for people with dementia, Availability of mechanisms to coordinate dementia care across sectors, Identification of different sectors in dementia care coordination  (Health), Identification of different sectors in dementia care coordination (Social), Identification of different sectors in dementia care coordination (Education), Identification of different sectors in dementia care coordination (Employment), Identification of different sectors in dementia care coordination (Justice), Identification of different sectors in dementia care coordination (Housing), Identification of different sectors in dementia care coordination (Civil society), Identification of different sectors in dementia care coordination (Private sector), Identification of different sectors in dementia care coordination (Other), Implementation level [national/subnational] of dementia care coordination, Presence of formal agreement/joint plan for dementia care coordination, Availability of dementia care coordination standards/ guidelines/ protocols, Availability of dementia diagnostic rate, Existence of community-based health or social care services for dementia, Availability of diagnostic services in community for dementia, Availability of behaviour and psychological management in community for dementia, Availability of psychosocial and rehabilitation services in community for dementia, Availability of activities of daily living support services in community for dementia, Availability of palliative and end-of-life care services in community for dementia, Availability of social and financial protection for dementia, Accessibility of diagnostic services in community for dementia [Capital/capital and main cities/capital, main cities, rural areas], Accessibility of behaviour and psychological management in community for dementia [Capital/capital and main cities/capital, main cities, rural areas], Accessibility of psychosocial and rehabilitation services in community for dementia [Capital/capital and main cities/capital, main cities, rural areas], Accessibility of activities of daily living support services in community for dementia [Capital/capital and main cities/capital, main cities, rural areas], Accessibility of palliative and end-of-life care services in community for dementia [Capital/capital and main cities/capital, main cities, rural areas], Accessibility of social and financial protection for dementia [Capital/capital and main cities/capital, main cities, rural areas], Majority provider of diagnostic services in community for dementia [public, private], Majority provider of behaviour and psychological management in community for dementia [public, private], Majority provider of psychosocial and rehabilitation services in community for dementia [public, private], Majority provider of activities of daily living support services in community for dementia [public, private], Majority provider of palliative and end-of-life care services in community for dementia [public, private], Majority provider of social and financial protection for dementia [public, private], Estimated number of people receiving behaviour and psychological management services in community for dementia, Estimated number of people receiving psychosocial and rehabilitation services in community for dementia, Estimated number of people receiving activities of daily living support services in community for dementia, Estimated number of people receiving palliative and end-of-life care services in community for dementia, Estimated number of people with dementia receiving social and financial protection for dementia, Dementia care facilities [hospitals], Care facilities [long-term care], Care facilities [hospice centres], Adult day centres, Outpatient health centres, Estimated percentage of hospitals following national dementia standards, Estimated number of people with dementia living in residential long-term care, Estimated percentage of residential long-term care facilities following national dementia standards, Estimated number of people with dementia receiving services at outpatient health centre, Hospital beds (per 10 000 population)"
resource_13_format,File Format,CSV
resource_13_download_url,Download URL,https://data.humdata.org/dataset/13d91947-4498-468f-9752-7c80fc2d9bd5/resource/fb0c07d9-f1cf-4672-aa7b-f37c202b331b/download/dementia_diagnosis_treatment_and_care_indicators_nga.csv
resource_13_id,Resource ID,fb0c07d9-f1cf-4672-aa7b-f37c202b331b
resource_13_last_modified,Updated,2025-09-29T17:08:35.654150
resource_13_metadata_modified,Metadata Updated,2025-09-29T17:14:43.723052
resource_13_microdata,Microdata,False
resource_13_dataset_id,Dataset ID,13d91947-4498-468f-9752-7c80fc2d9bd5
resource_13_resource_type,Resource Type,file.upload
resource_13_name,Resource Name,"Dementia diagnosis, treatment and care Indicators for Nigeria"
resource_13_mimetype,MIME Type,
resource_13_size,Size,689.0B
resource_14_created,Created,2020-03-11T10:00:58.329905
resource_14_description,Description,"Environment and health: Household air pollution attributable deaths, Household air pollution attributable DALYs, Joint effects of air pollution attributable deaths, Household air pollution attributable DALYs (per 100 000, age-standardized), Ambient air pollution attributable deaths, Ambient air pollution attributable death rate (per 100 000 population, age-standardized), Household air pollution attributable death rate (per 100 000 population, age-standardized), Household and ambient air pollution attributable DALYs, Household and ambient air pollution attributable DALYs (per 100 000 capita, age-standardized), Ambient air pollution attributable DALYs, Ambient air pollution attributable DALYs  (per 100 000 population, age-standardized), Climate change attributable deaths, Climate change attributable DALYs ('000), Climate change attributable deaths per 100'000 capita, Climate change attributable DALYs per 100'000 capita, Climate change attributable deaths ('000) in children under 5 years, Climate change  attributable deaths per 100'000 children under 5 years, Climate change attributable DALYs ('000) in children under 5 years, Climate change  attributable DALYs per 100'000 children under 5 years, Electric field (kV/m), Electric field (V/m), Magnetic flux density (microT), Power density (W/m^2), Power frequency (Hz), Specific absorption rate (SAR) (W/kg), Existence of standards, Legislative status, Occupational carcinogens attributable DALYs ('000), Occupational carcinogens attributable deaths per 100'000 capita, Occupational carcinogens attributable DALYs per 100'000 capita, Occupational noise attributable DALYs ('000), Occupational noise attributable DALYs per 100'000 capita, Occupational ergonomic stressors attributable deaths, Occupational ergonomic stressors attributable DALYs ('000), Occupational ergonomic stressors attributable deaths per 100'000 capita, Occupational ergonomic stressors attributable DALYs per 100'000 capita, Occupational injuries attributable deaths, Occupational injuries attributable DALYs ('000), Occupational injuries attributable deaths per 100'000 capita, Occupational airborne particulates attributable deaths, Occupational airborne particulates attributable DALYs ('000), Occupational airborne particulates attributable deaths per 100'000 capita, Occupational airborne particulates attributable DALYs per 100'000 capita, Occupational carcinogens attributable deaths, Population with primary reliance on fuels and technologies for cooking, by fuel type (in millions), Population with primary reliance on clean fuels and technologies for cooking (in millions), Population with primary reliance on polluting fuels and technologies for cooking (in millions), Proportion of population with primary reliance on fuels and technologies for cooking, by fuel type (%), Proportion of population with primary reliance on clean fuels and technologies for cooking (%), Proportion of population with primary reliance on polluting fuels and technologies for cooking (%), Existence of any subnational radon activity, Existence of national radon survey(s), National radon concentration levels, Existence of national radon database, Data in national radon database, Existence of national radon map, Existence of national radon regulations, Radon in building regulations for new buildings, Radon in building regulations for existing buildings i.e. renovation/remodeling/major alteration, Existence of national reference level for dwellings and buildings with high public occupancy, Reference level for dwellings (Bq/m3), Reference level for buildings with high public occupancy (Bq/m3), Existence of national reference level for workplaces, Reference level for workplaces (Bq/m3), Existence of official protocols for radon measurements, Radon concentration measurements for new buildings, Radon concentration measurements for existing buildings, Authorization/accreditation required for official radon measurement providers, Mandatory preventive measures (new buildings), Mandatory mitigation measures if legal value is exceeded (existing buildings), Financial support provided for mitigation (existing dwellings), Official standards/guidelines for prevention/mitigation, Existence of training/education on prevention/mitigation, Inclusion of radon education for building professionals, Amount of water- and sanitation-related official development assistance that is part of a government-coordinated spending plan (constant 2023 US$ millions), Concentrations of fine particulate matter (PM2.5), Mortality rate attributed to unintentional poisoning (per 100 000 population), Mortality rate attributed to exposure to unsafe WASH services (per 100 000 population) (SDG 3.9.2), Existence of national regulation, Access restrictions, Information requirements, Deaths attributable to the environment, Age-standardized deaths attributable to the environment (per 100 000 population), Disability-adjusted life years (DALYs) attributable to the environment, Age-standardized DALYs attributable to the environment (per 100 000 population), Disability-adjusted life years (DALYs) attributable to the environment (%), SDG 6.3.1 Proportion of safely treated domestic wastewater flows (%), Population using at least basic sanitation services (%), Population using safely managed sanitation services (%), Population using safely managed drinking-water services (%)"
resource_14_format,File Format,CSV
resource_14_download_url,Download URL,https://data.humdata.org/dataset/13d91947-4498-468f-9752-7c80fc2d9bd5/resource/666080bd-1847-482d-b522-b1722c3a47f8/download/environment_and_health_indicators_nga.csv
resource_14_id,Resource ID,666080bd-1847-482d-b522-b1722c3a47f8
resource_14_last_modified,Updated,2025-09-29T17:08:35.852414
resource_14_metadata_modified,Metadata Updated,2025-09-29T17:14:40.113207
resource_14_microdata,Microdata,False
resource_14_dataset_id,Dataset ID,13d91947-4498-468f-9752-7c80fc2d9bd5
resource_14_resource_type,Resource Type,file.upload
resource_14_name,Resource Name,Environment and health Indicators for Nigeria
resource_14_mimetype,MIME Type,
resource_14_size,Size,1.3M
resource_15_created,Created,2020-03-11T10:00:58.329921
resource_15_description,Description,"Global Dementia Observatory (GDO): Total density per 100 000 population: Hospitals, Identification of other plans in which dementia is integrated (Ageing), Identification of other plans in which dementia is integrated (Disability), Identification of other plans in which dementia is integrated (Mental health), Identification of other plans in which dementia is integrated (NCD), National regulator approval of anti-dementia medication, Availability of generic anti-dementia medication, Availability of at least one anti-dementia medication approved for on-label use reimbursement, Availability of atleast one adult hygiene products for people with dementia, Availability of atleast one housing adjustment for people with dementia, Availability of  atleast one assistive technology for people with dementia, Existence of dementia national nongovernmental organization, Dementia nongovernmental organization equipped with office, Dementia nongovernmental organization office branches (Sub-national), Dementia nongovernmental organization office branches (Local), Dementia nongovernmental organization office branches (National only), Dementia nongovernmental organization staff primarily salaried/volunteer, Provision of governmental funding to dementia nongovernmental organization for activities/services, Dementia nongovernmental organization's involvement in policy development, Existence of dementia carer support services, Implementation level [national/subnational] of dementia carer support services, Existence of dedicated resources for dementia carer support services, Existence of implementation plan for dementia carer support services, Existence of respite care for dementia carers, Existence of financial benefits/social protection for dementia carers, Accessibility of dementia carer training and education [Capital/capital and main cities/capital, main cities, rural areas], Majority provider of dementia carer training and education (NGO), Majority provider of dementia carer training and education (Private sector), Majority provider of dementia carer training and education (Public sector), Accessibility of psycho-social supports for dementia carers [Capital/capital and main cities/capital, main cities, rural areas], Majority provider of psycho-social supports for dementia carers (NGO), Majority provider of psycho-social supports for dementia carers (Private sector), Majority provider of psycho-social supports for dementia carers (Public sector), Accessibility of respite care for dementia carers [Capital/capital and main cities/capital, main cities, rural areas], Majority provider of respite care for dementia carers (Private sector), Majority provider of respite care for dementia carers (Public sector), Accessibility of financial benefits/social protection for dementia carers [Capital/capital and main cities/capital, main cities, rural areas], Majority provider of information on financial benefits/social protection for dementia carers (NGO), Majority provider of information on financial benefits/social protection for dementia carers (Private sector), Majority provider of information  on financial benefits/social protection for dementia carers (Public sector), Estimated number of dementia carers receiving training and education, Estimated number of dementia carers receiving psycho-social supports, Estimated number of dementia carers receiving respite care, Estimated number of dementia carers receiving financial benefits/social protection, Existence of at least one functioning dementia awareness campaign, Implementation level [national/subnational] of dementia awareness campaign, Availability of dementia-friendly initiatives that improve accessibility, Existence of dementia-friendly initiative to improve accessibility of public spaces, Existence of dementia-friendly initiative to improve accessibility of public transportation, Existence of dementia-friendly initiative for assistance with home modification, Existence of dementia-friendly initiative with assistive technology for loss of capacity, Existence of dementia-friendly initiative supporting community places for older people, Existence of dementia-friendly initiative supporting social opportunities, Inclusion of dementia training and education for non-health workers, Existence of dementia training for volunteers, Existence of dementia training for police and fire services, Existence of dementia training for first responders, Existence of dementia training for legal professionals, Existence of dementia training for community workers, Existence of dementia training for school children, Existence of dementia training for financial service staff, Existence of dementia training for retail and hospitality staff, Routine monitoring of people with dementia, Availability of routine hospital admissions records for people with dementia for monitoring purposes, Availability of routine outpatient visit records for people with dementia for monitoring purposes, Availability of routine outpatient intervention and treatment records for people with dementia for monitoring purposes, Availability of routine pharmaceutical records for people with dementia for monitoring purposes, Availability of routine antipsychotic prescription records for people with dementia for monitoring purposes, Availability and status of dementia reporting in the past two years, Existence of a current dementia research plan/programme, Implementation level [national/subnational] of dementia research plan/programme, Dementia integrated into other national research plan/programme, Identification of other research plans in which dementia is integrated (Ageing), Identification of other research plans in which dementia is integrated (Neuro or neurodegenerative disease), Identification of other research plans in which dementia is integrated (NCD), Implementation level [national/subnational] of research plan in which dementia is integrated, Availability of funding for dementia-specific research plan/programme, Total expenditure on dementia research (local currency, self-report), Total expenditure on dementia basic research (local currency, self-report), Total expenditure on dementia clinical/translational research (local currency, self-report), Number of people with dementia involved in research routinely monitored, Availability of investigational pharmaceutical trials for dementia, Number of investigational pharmaceutical trials for dementia, Inclusion of dementia in ministry portfolio, Inclusion of dementia in a branch of government [health, ageing, social services, mental health, noncommunicable disease], Total number of published dementia research output, Existence of dementia national plan, Availability of funding for dementia national plan, Targets for monitoring implementation of dementia national plan, Identification of other plans in which dementia is integrated (Other), Existence of dementia sub-national plan(s), Existence of dementia legislation, Implementation level [national/subnational] of dementia legislation, Existence of other laws that apply to the rights of people with dementia, Existence of legislation for supported decision making for people with dementia, Existence of legislation to file appeals protecting the rights of people with dementia, Existence of legislation to promote community-based services for people with dementia, Existence of legislation to promote monitoring of human rights conditions of people with dementia in facilities where they reside, Existence of legislation to end coercieve practices for people with dementia, Existence of legislation for advanced care directives for people with dementia, Existence of legislation to end discrimination against people with dementia, Existence of legislation to end discrimination against carers of people with dementia, Implementation level of dementia standards/ guidelines/ protocols (National), Implementation level of dementia standards/ guidelines/ protocols (Sub-national), Existence of approved government dementia standards/ guidelines/ protocols, Existence of standards/ guidelines/ protocols for prevention and risk reduction of dementia, Existence of standards/ guidelines/ protocols for diagnosis of dementia, Existence of standards/ guidelines/ protocols for management of dementia, Existence of standards/ guidelines/ protocols for other post-diagnostic supports of people with dementia, Existence of standards/ guidelines/ protocols for treatment and support of carers and families of people with dementia, Existence of standards/ guidelines/ protocols for advance care directives, power of attorney or guardianship for people with dementia, Existence of standards/ guidelines/ protocols for palliative and end-of-life care for people with dementia, Existence of standards/ guidelines/ protocols of care in nursing &amp; residential care facilities for people with dementia, Existence of standards/ guidelines/ protocols of care in hospital for people with dementia, Availability of mechanisms to coordinate dementia care across sectors, Identification of different sectors in dementia care coordination  (Health), Identification of different sectors in dementia care coordination (Social), Identification of different sectors in dementia care coordination (Education), Identification of different sectors in dementia care coordination (Employment), Identification of different sectors in dementia care coordination (Justice), Identification of different sectors in dementia care coordination (Housing), Identification of different sectors in dementia care coordination (Civil society), Identification of different sectors in dementia care coordination (Private sector), Identification of different sectors in dementia care coordination (Other), Implementation level [national/subnational] of dementia care coordination, Presence of formal agreement/joint plan for dementia care coordination, Availability of dementia care coordination standards/ guidelines/ protocols, Inclusion of basic dementia competencies in training of physicians, Inclusion of basic dementia competencies in training of specialists, Inclusion of basic dementia competencies in training of nurses, Inclusion of basic dementia competencies in training of pharmaceutical personnel, Inclusion of basic dementia competencies in training of social workers, Inclusion of basic dementia competencies in training of personal support workers, Availability of dementia diagnostic rate, Existence of community-based health or social care services for dementia, Availability of diagnostic services in community for dementia, Availability of behaviour and psychological management in community for dementia, Availability of psychosocial and rehabilitation services in community for dementia, Availability of activities of daily living support services in community for dementia, Availability of palliative and end-of-life care services in community for dementia, Availability of social and financial protection for dementia, Accessibility of diagnostic services in community for dementia [Capital/capital and main cities/capital, main cities, rural areas], Accessibility of behaviour and psychological management in community for dementia [Capital/capital and main cities/capital, main cities, rural areas], Accessibility of psychosocial and rehabilitation services in community for dementia [Capital/capital and main cities/capital, main cities, rural areas], Accessibility of activities of daily living support services in community for dementia [Capital/capital and main cities/capital, main cities, rural areas], Accessibility of palliative and end-of-life care services in community for dementia [Capital/capital and main cities/capital, main cities, rural areas], Accessibility of social and financial protection for dementia [Capital/capital and main cities/capital, main cities, rural areas], Majority provider of diagnostic services in community for dementia [public, private], Majority provider of behaviour and psychological management in community for dementia [public, private], Majority provider of psychosocial and rehabilitation services in community for dementia [public, private], Majority provider of activities of daily living support services in community for dementia [public, private], Majority provider of palliative and end-of-life care services in community for dementia [public, private], Majority provider of social and financial protection for dementia [public, private], Estimated number of people receiving behaviour and psychological management services in community for dementia, Estimated number of people receiving psychosocial and rehabilitation services in community for dementia, Estimated number of people receiving activities of daily living support services in community for dementia, Estimated number of people receiving palliative and end-of-life care services in community for dementia, Estimated number of people with dementia receiving social and financial protection for dementia, Dementia care facilities [hospitals], Care facilities [long-term care], Care facilities [hospice centres], Adult day centres, Outpatient health centres, Outpatient social centres, Estimated percentage of hospitals following national dementia standards, Estimated number of people with dementia living in residential long-term care, Estimated percentage of residential long-term care facilities following national dementia standards, Estimated number of people with dementia receiving services at outpatient health centre, Estimated number of people with dementia receiving services at outpatient social centre, Hospital beds (per 10 000 population)"
resource_15_format,File Format,CSV
resource_15_download_url,Download URL,https://data.humdata.org/dataset/13d91947-4498-468f-9752-7c80fc2d9bd5/resource/7eb0dbf3-142d-412c-8d05-3d0aaa626df8/download/global_dementia_observatory_gdo_indicators_nga.csv
resource_15_id,Resource ID,7eb0dbf3-142d-412c-8d05-3d0aaa626df8
resource_15_last_modified,Updated,2025-09-29T17:08:36.349321
resource_15_metadata_modified,Metadata Updated,2025-09-29T17:14:41.125003
resource_15_microdata,Microdata,False
resource_15_dataset_id,Dataset ID,13d91947-4498-468f-9752-7c80fc2d9bd5
resource_15_resource_type,Resource Type,file.upload
resource_15_name,Resource Name,Global Dementia Observatory (GDO) Indicators for Nigeria
resource_15_mimetype,MIME Type,
resource_15_size,Size,689.0B
resource_16_created,Created,2020-03-11T10:00:58.329928
resource_16_description,Description,"Global Health Estimates: Life expectancy and leading causes of death and disability: Number of deaths among children 5 to 14 years of age, Mortality rate for 5-14 year-olds (probability of dying per 1000 children aged 5-14 years), Number of under-five deaths, Number of infant deaths, Number of neonatal deaths, Number of deaths among children ages 5 to 9 years, Number of deaths among adolescents (10 to 19 years of age), Infant mortality rate (probability of dying between birth and age 1 per 1000 live births), Under-five mortality rate (probability of dying by age 5 per 1000 live births), Age-standardized suicide rates (per 100 000 population), Adolescent mortality rate (per 1 000 age specific cohort), Number of deaths in children aged &lt;5 years, by cause, Deaths per 1 000 live births, Distribution of causes of death among children aged &lt; 5 years (%), Number of maternal deaths, Probability (%) of dying between age 30 and exact age 70 from any of cardiovascular disease, cancer, diabetes, or chronic respiratory disease, Total NCD Deaths, Premature deaths due to noncommunicable diseases (NCD) as a proportion of all NCD deaths, Estimated number of road traffic deaths, Estimated road traffic death rate (per 100 000 population), Distribution of road traffic deaths by type of road user (%), Mortality rate attributed to unintentional poisoning (per 100 000 population), Crude suicide rates (per 100 000 population), Life expectancy at birth (years), Healthy life expectancy (HALE) at birth (years), Neonatal mortality rate (per 1000 live births), Adult mortality rate (probability of dying between 15 and 60 years per 1000 population), Healthy life expectancy (HALE) at age 60 (years), Stillbirth rate (per 1000 total births), Life expectancy at age 60 (years), Mortality rate among children ages 5 to 9 years (per 1000 children aged 5)"
resource_16_format,File Format,CSV
resource_16_download_url,Download URL,https://data.humdata.org/dataset/13d91947-4498-468f-9752-7c80fc2d9bd5/resource/b1180d01-c397-427d-8d1c-baf9736f6c11/download/global_health_estimates_life_expectancy_and_leading_causes_of_death_and_disability_indicators_ng.csv
resource_16_id,Resource ID,b1180d01-c397-427d-8d1c-baf9736f6c11
resource_16_last_modified,Updated,2025-09-29T17:08:36.537858
resource_16_metadata_modified,Metadata Updated,2025-09-29T17:14:42.281188
resource_16_microdata,Microdata,False
resource_16_dataset_id,Dataset ID,13d91947-4498-468f-9752-7c80fc2d9bd5
resource_16_resource_type,Resource Type,file.upload
resource_16_name,Resource Name,Global Health Estimates: Life expectancy and leading causes of death and disability Indicators for Nigeria
resource_16_mimetype,MIME Type,
resource_16_size,Size,1.5M
resource_17_created,Created,2020-03-11T10:00:58.329896
resource_17_description,Description,"Global Information System on Alcohol and Health: Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol), by beverage type, Alcohol, drinkers only per capita (15+) consumption in litres of pure alcohol, three-year average, Alcohol, abstainers lifetime (%), age-standardized, Alcohol, abstainers past 12 months (%), age-standardized, Alcohol, consumers past 12 months (%), age-standardized, Alcohol, former drinkers (%), age-standardized, Alcohol dependence (15+ ), 12-month prevalence (%) with 95%CI, Alcohol use disorders (15+), 12 month prevalence (%) with 95%, Awareness activities, Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2), three-year average, Alcohol, heavy episodic drinking (15+) past 30 days (%), age-standardized, Alcohol-attributable fractions, all-cause deaths (%), Alcohol, regional prevalence of alcohol dependence (%), Alcohol, regional prevalence of alcohol use disorders (%), Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol), three-year average, Alcohol, average daily intake in grams among drinkers, three-year average, Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI, National guidelines for the prevention and reduction of alcohol-related harm in schools, National guidelines for alcohol problem prevention and counselling at workplaces, Server training, Legislation on alcohol testing at workplaces, Standard drink defined, National systems for monitoring alcohol consumption and harms, National surveys on adult alcohol consumption, National surveys on youth alcohol consumption, Cancer, age-standardized death rates (15+), per 100,000 population, National system of epidemiological data collection for alcohol use, National system of data collection based on health service delivery, Report with epidemiological data on lcohol use and AUDs, Report with data from health services on alcohol use and AUDs, National organization for monitoring alcohol, Alcohol, total  (recorded + unrecorded) per capita (15+) consumption, projections, Heavy episodic drinking (youth 15 -19 years) past 30 days (%), Heavy episodic drinking (youth 15 -19 years), drinkers only, past 30 days (%), Alcohol, unrecorded per capita (15+) consumption (in litres of pure alcohol), three-year average, Alcohol, tourist consumption (in litres of pure alcohol), three-year average, Regional prevalence, AAFs ,all-cause deaths (%), Alcohol-attributable all-cause deaths per 100,000, age standardized, Alcohol-attributable DALYs per 100,000 people (age standardized), Percent of all DALYs attributable to alcohol, Alcohol, heavy continuous drinkers past year (%), Alcohol, heavy continuous drinkers, drinkers only, past year (%), Alcohol, 15-19 years heavy continuous drinkers, drinkers only, past year (%), Alcohol-attributable DALYs lost from all causes (all ages), (number), Alcohol-attributable all-cause deaths (all ages), (number)"
resource_17_format,File Format,CSV
resource_17_download_url,Download URL,https://data.humdata.org/dataset/13d91947-4498-468f-9752-7c80fc2d9bd5/resource/46b33cbe-70aa-4c23-b4ad-0931e9462d5b/download/global_information_system_on_alcohol_and_health_indicators_nga.csv
resource_17_id,Resource ID,46b33cbe-70aa-4c23-b4ad-0931e9462d5b
resource_17_last_modified,Updated,2025-09-29T17:08:36.728220
resource_17_metadata_modified,Metadata Updated,2025-09-29T17:14:44.861928
resource_17_microdata,Microdata,False
resource_17_dataset_id,Dataset ID,13d91947-4498-468f-9752-7c80fc2d9bd5
resource_17_resource_type,Resource Type,file.upload
resource_17_name,Resource Name,Global Information System on Alcohol and Health Indicators for Nigeria
resource_17_mimetype,MIME Type,
resource_17_size,Size,305.9K
resource_18_created,Created,2022-12-15T18:35:59.148768
resource_18_description,Description,"HIV: Estimated number of people (all ages) living with HIV, Number of people dying from HIV-related causes, Testing and counselling facilities, reported number, Testing and counselling facilities, estimated number per 100 000 adult population, Reported number of people receiving antiretroviral therapy, Reported number of children receiving antiretroviral therapy, Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission, Estimated number of pregnant women living with HIV, Estimated number of pregnant women living with HIV needing antiretrovirals for preventing mother-to-child transmission, Estimated number of children needing antiretroviral therapy based on WHO methods, Estimated antiretroviral therapy coverage among children, Testing and counselling facilities, reporting period, Number of new HIV infections, Estimated antiretroviral therapy coverage among people living with HIV (%), Percentage of HIV-positive results returned to people in the calendar year, Prevalence of HIV among adults aged 15 to 49 (%), New HIV infections (per 1000 uninfected population)"
resource_18_format,File Format,CSV
resource_18_download_url,Download URL,https://data.humdata.org/dataset/13d91947-4498-468f-9752-7c80fc2d9bd5/resource/7287b4d4-9ca6-40b9-afd7-44946e03791c/download/hiv_indicators_nga.csv
resource_18_id,Resource ID,7287b4d4-9ca6-40b9-afd7-44946e03791c
resource_18_last_modified,Updated,2025-09-29T17:08:36.914633
resource_18_metadata_modified,Metadata Updated,2025-09-29T17:14:45.971305
resource_18_microdata,Microdata,False
resource_18_dataset_id,Dataset ID,13d91947-4498-468f-9752-7c80fc2d9bd5
resource_18_resource_type,Resource Type,file.upload
resource_18_name,Resource Name,HIV Indicators for Nigeria
resource_18_mimetype,MIME Type,
resource_18_size,Size,111.7K
resource_19_created,Created,2020-03-11T10:00:58.329952
