indicator_code,indicator_name,year,start_year,end_year,dimension_type,dimension_code,dimension_name,numeric,value
MORT_200,Deaths per 1 000 live births,2009,2009,2009,AGEGROUP,AGEGROUP_YEARS0-4,0-4 years of age,22.86253,22.9
MORT_300,Distribution of causes of death among children aged < 5 years (%),2013,2013,2013,AGEGROUP,AGEGROUP_MONTHS1-59,1-59 months,0.03355,0
MORT_100,"Number of deaths in children aged <5 years, by cause",2016,2016,2016,SEX,SEX_BTSX,Both sexes,124906.9187,124906.9
WHOSIS_000003,Neonatal mortality rate (per 1000 live births),2000,2000,2000,SEX,SEX_BTSX,Both sexes,46.344764566,46.3 [41.7-51.3]
MORT_200,Deaths per 1 000 live births,2009,2009,2009,AGEGROUP,AGEGROUP_DAYS0-27,0-27 days,1.52272,1.5
MORT_200,Deaths per 1 000 live births,2005,2005,2005,AGEGROUP,AGEGROUP_YEARS0-4,0-4 years of age,5.0871,5.1
MDG_0000000007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),2001,2001,2001,SEX,SEX_MLE,Male,184.595025539,184.6 [173.1-197.1]
DEATHADO,Number of deaths among adolescents (10 to 19 years of age),2021,2021,2021,SEX,SEX_BTSX,Both sexes,37917.0,37 917 [11 104-79 263]
MORT_100,"Number of deaths in children aged <5 years, by cause",2003,2003,2003,SEX,SEX_BTSX,Both sexes,12316.186582534,12 316
MORT_300,Distribution of causes of death among children aged < 5 years (%),2006,2006,2006,AGEGROUP,AGEGROUP_DAYS0-27,0-27 days,0.33381,0.3
MORT_200,Deaths per 1 000 live births,2000,2000,2000,AGEGROUP,AGEGROUP_DAYS0-27,0-27 days,4.90419,4.9
MORT_200,Deaths per 1 000 live births,2016,2016,2016,AGEGROUP,AGEGROUP_MONTHS1-59,1-59 months,16.41754,16.4
MORT_100,"Number of deaths in children aged <5 years, by cause",2015,2015,2015,SEX,SEX_BTSX,Both sexes,8635.18823,8635.2
MORT_200,Deaths per 1 000 live births,2017,2017,2017,AGEGROUP,AGEGROUP_MONTHS1-59,1-59 months,15.70474,15.7
MORT_100,"Number of deaths in children aged <5 years, by cause",2014,2014,2014,SEX,SEX_BTSX,Both sexes,48496.74002,48496.7
CM_02,Number of infant deaths,1973,1973,1973,SEX,SEX_BTSX,Both sexes,373820.0,373 820 [337 684-415 898]
WHOSIS_000003,Neonatal mortality rate (per 1000 live births),1986,1986,1986,SEX,SEX_BTSX,Both sexes,49.770717751,49.8 [44.0-55.7]
DEATHADO,Number of deaths among adolescents (10 to 19 years of age),2020,2020,2020,SEX,SEX_MLE,Male,20781.0,20 781 [14 174-29 643]
MORT_300,Distribution of causes of death among children aged < 5 years (%),2012,2012,2012,AGEGROUP,AGEGROUP_MONTHS1-59,1-59 months,0.0387,0
MORT_200,Deaths per 1 000 live births,2005,2005,2005,AGEGROUP,AGEGROUP_DAYS0-27,0-27 days,0.61343,0.6
MORTADO,Adolescent mortality rate (per 1 000 age specific cohort),2023,2023,2023,SEX,SEX_BTSX,Both sexes,6.455861365,6.5 [1.3-14.2]
MORTADO,Adolescent mortality rate (per 1 000 age specific cohort),2018,2018,2018,SEX,SEX_FMLE,Female,6.715680943,6.7 [2.3-12.6]
WHOSIS_000003,Neonatal mortality rate (per 1000 live births),1985,1985,1985,SEX,SEX_BTSX,Both sexes,49.983624488,50.0 [44.2-55.9]
MORT_100,"Number of deaths in children aged <5 years, by cause",2000,2000,2000,SEX,SEX_BTSX,Both sexes,10717.208404541,10 717
MORT_200,Deaths per 1 000 live births,2008,2008,2008,AGEGROUP,AGEGROUP_DAYS0-27,0-27 days,0.03608,0
MORT_100,"Number of deaths in children aged <5 years, by cause",2012,2012,2012,SEX,SEX_BTSX,Both sexes,1160.224273682,1160
CM_02,Number of infant deaths,2020,2020,2020,SEX,SEX_FMLE,Female,208040.0,208 040 [158 865-277 160]
MORT_100,"Number of deaths in children aged <5 years, by cause",2004,2004,2004,SEX,SEX_BTSX,Both sexes,1383.20215,1383.2
CM_04,Number of deaths among children ages 5 to 9 years,2005,2005,2005,SEX,SEX_FMLE,Female,35900.0,35 900 [32 043-40 272]
DEATHADO,Number of deaths among adolescents (10 to 19 years of age),2018,2018,2018,SEX,SEX_MLE,Male,20085.0,20 085 [14 459-27 669]
MORT_200,Deaths per 1 000 live births,2016,2016,2016,AGEGROUP,AGEGROUP_MONTHS1-59,1-59 months,9.18772,9.2
MORT_300,Distribution of causes of death among children aged < 5 years (%),2015,2015,2015,AGEGROUP,AGEGROUP_YEARS0-4,0-4 years of age,0.09931,0.1
MORT_300,Distribution of causes of death among children aged < 5 years (%),2002,2002,2002,AGEGROUP,AGEGROUP_DAYS0-27,0-27 days,0.332,0.3
CM_01,Number of under-five deaths,2020,2020,2020,SEX,SEX_BTSX,Both sexes,83688.0,83 688 [62 696-113 261]
CM_01,Number of under-five deaths,2011,2011,2011,SEX,SEX_BTSX,Both sexes,198154.0,198 154 [178 592-220 159]
MORT_200,Deaths per 1 000 live births,2015,2015,2015,AGEGROUP,AGEGROUP_YEARS0-4,0-4 years of age,3.64388,3.6
MORT_200,Deaths per 1 000 live births,2017,2017,2017,AGEGROUP,AGEGROUP_MONTHS1-59,1-59 months,0.00775,0
MORT_100,"Number of deaths in children aged <5 years, by cause",2009,2009,2009,SEX,SEX_BTSX,Both sexes,2448.10883,2448.1
CM_04,Number of deaths among children ages 5 to 9 years,1997,1997,1997,SEX,SEX_MLE,Male,38619.0,38 619 [34 101-44 173]
MORT_300,Distribution of causes of death among children aged < 5 years (%),2003,2003,2003,AGEGROUP,AGEGROUP_MONTHS1-59,1-59 months,0.0,0
WHOSIS_000016,Mortality rate among children ages 5 to 9 years (per 1000 children aged 5),2020,2020,2020,SEX,SEX_MLE,Male,13.329197159,13.3 [10.6-15.9]
MORTADO,Adolescent mortality rate (per 1 000 age specific cohort),2013,2013,2013,SEX,SEX_MLE,Male,9.552143264,9.6 [7.6-11.9]
CHILDMORT5TO14,Mortality rate for 5-14 year-olds (probability of dying per 1000 children aged 5-14 years),1997,1997,1997,SEX,SEX_MLE,Male,33.80974738,33.8 [29.8-38.6]
MORT_300,Distribution of causes of death among children aged < 5 years (%),2002,2002,2002,AGEGROUP,AGEGROUP_MONTHS1-59,1-59 months,0.19398,0.2
MORT_100,"Number of deaths in children aged <5 years, by cause",2008,2008,2008,SEX,SEX_BTSX,Both sexes,80.93819,80.9
MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),1970,1970,1970,SEX,SEX_FMLE,Female,137.615125449,137.6 [122.7-155.9]
MORT_100,"Number of deaths in children aged <5 years, by cause",2003,2003,2003,SEX,SEX_BTSX,Both sexes,33229.392631705,33 229
MDG_0000000007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),2008,2008,2008,SEX,SEX_FMLE,Female,134.110689924,134.1 [124.0-144.9]
MORT_100,"Number of deaths in children aged <5 years, by cause",2005,2005,2005,SEX,SEX_BTSX,Both sexes,53924.50117221732,9210.405471956225
MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),2011,2011,2011,SEX,SEX_BTSX,Both sexes,72.964231253,73.0 [66.4-80.4]
MORT_100,"Number of deaths in children aged <5 years, by cause",2007,2007,2007,SEX,SEX_BTSX,Both sexes,956.348,956.3
MORT_100,"Number of deaths in children aged <5 years, by cause",2010,2010,2010,SEX,SEX_BTSX,Both sexes,3823.54949,3823.5
MORT_300,Distribution of causes of death among children aged < 5 years (%),2015,2015,2015,AGEGROUP,AGEGROUP_MONTHS1-59,1-59 months,0.02292,0
MORT_100,"Number of deaths in children aged <5 years, by cause",2006,2006,2006,SEX,SEX_BTSX,Both sexes,0.0,0.0
MDG_0000000007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),2001,2001,2001,SEX,SEX_BTSX,Both sexes,217.780056184,217.8 [199.5-237.4]
CM_02,Number of infant deaths,2009,2009,2009,SEX,SEX_FMLE,Female,226734.0,226 734 [208 561-245 988]
MORT_100,"Number of deaths in children aged <5 years, by cause",2008,2008,2008,SEX,SEX_BTSX,Both sexes,0.0,0.0
CHILDDEATH5TO14,Number of deaths among children 5 to 14 years of age,2000,2000,2000,SEX,SEX_BTSX,Both sexes,105376.0,105 376 [94 945-117 554]
MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),1983,1983,1983,SEX,SEX_FMLE,Female,94.849780791,94.8 [86.8-103.2]
MORT_100,"Number of deaths in children aged <5 years, by cause",2012,2012,2012,SEX,SEX_BTSX,Both sexes,3961.34625,3961.3
WHOSIS_000016,Mortality rate among children ages 5 to 9 years (per 1000 children aged 5),1994,1994,1994,SEX,SEX_FMLE,Female,22.578946861,22.6 [19.8-26.2]
MORT_300,Distribution of causes of death among children aged < 5 years (%),2002,2002,2002,AGEGROUP,AGEGROUP_MONTHS1-59,1-59 months,0.02207,0
MORT_300,Distribution of causes of death among children aged < 5 years (%),2004,2004,2004,AGEGROUP,AGEGROUP_MONTHS1-59,1-59 months,0.014,0
MORT_100,"Number of deaths in children aged <5 years, by cause",2010,2010,2010,SEX,SEX_BTSX,Both sexes,133066.5264,133066.5
MORT_300,Distribution of causes of death among children aged < 5 years (%),2005,2005,2005,AGEGROUP,AGEGROUP_YEARS0-4,0-4 years of age,0.19855,0.2
MORT_100,"Number of deaths in children aged <5 years, by cause",2015,2015,2015,SEX,SEX_BTSX,Both sexes,0.0,0.0
MORT_200,Deaths per 1 000 live births,2017,2017,2017,AGEGROUP,AGEGROUP_MONTHS1-59,1-59 months,1.58292,1.6
CM_04,Number of deaths among children ages 5 to 9 years,2004,2004,2004,SEX,SEX_FMLE,Female,35710.0,35 710 [31 873-40 042]
MORT_200,Deaths per 1 000 live births,2016,2016,2016,AGEGROUP,AGEGROUP_MONTHS1-59,1-59 months,2.03812,2
MDG_0000000007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),2006,2006,2006,SEX,SEX_BTSX,Both sexes,162.256037714,162.3 [149.9-176.0]
MORT_200,Deaths per 1 000 live births,2014,2014,2014,AGEGROUP,AGEGROUP_MONTHS1-59,1-59 months,1.37869,1.4
MORT_300,Distribution of causes of death among children aged < 5 years (%),2017,2017,2017,AGEGROUP,AGEGROUP_MONTHS1-59,1-59 months,0.24131,0.2
MORT_200,Deaths per 1 000 live births,2008,2008,2008,AGEGROUP,AGEGROUP_MONTHS1-59,1-59 months,3.08078,3.1
MORTADO,Adolescent mortality rate (per 1 000 age specific cohort),2004,2004,2004,SEX,SEX_BTSX,Both sexes,9.493977427,9.5 [5.8-13.3]
MORT_300,Distribution of causes of death among children aged < 5 years (%),2001,2001,2001,AGEGROUP,AGEGROUP_DAYS0-27,0-27 days,0.0,0
CM_02,Number of infant deaths,1979,1979,1979,SEX,SEX_BTSX,Both sexes,370388.0,370 388 [338 932-403 204]
CM_01,Number of under-five deaths,2008,2008,2008,SEX,SEX_BTSX,Both sexes,232213.0,232 213 [210 807-253 909]
MORT_100,"Number of deaths in children aged <5 years, by cause",2008,2008,2008,SEX,SEX_BTSX,Both sexes,12386.384338277,12 386
CM_01,Number of under-five deaths,2023,2023,2023,SEX,SEX_BTSX,Both sexes,204026.0,204 026 [139 475-301 158]
DEATHADO,Number of deaths among adolescents (10 to 19 years of age),2009,2009,2009,SEX,SEX_FMLE,Female,16559.0,16 559 [13 605-20 062]
MORT_100,"Number of deaths in children aged <5 years, by cause",2020,2020,2020,SEX,SEX_BTSX,Both sexes,33040.97346,33041.0
CHILDDEATH5TO14,Number of deaths among children 5 to 14 years of age,2014,2014,2014,SEX,SEX_FMLE,Female,55538.0,55 538 [47 359-65 195]
MORT_100,"Number of deaths in children aged <5 years, by cause",2008,2008,2008,SEX,SEX_BTSX,Both sexes,11050.30676,11050.3
MORTADO,Adolescent mortality rate (per 1 000 age specific cohort),2003,2003,2003,SEX,SEX_MLE,Male,20.794635364,20.8 [16.4-25.5]
DEATHADO,Number of deaths among adolescents (10 to 19 years of age),2019,2019,2019,SEX,SEX_BTSX,Both sexes,37574.0,37 574 [12 068-72 924]
MORT_200,Deaths per 1 000 live births,2015,2015,2015,AGEGROUP,AGEGROUP_MONTHS1-59,1-59 months,2.2581,2.3
CM_01,Number of under-five deaths,2007,2007,2007,SEX,SEX_MLE,Male,487611.0,487 611 [452 393-523 726]
MORT_200,Deaths per 1 000 live births,2011,2011,2011,AGEGROUP,AGEGROUP_DAYS0-27,0-27 days,2.92105,2.9
MORT_300,Distribution of causes of death among children aged < 5 years (%),2000,2000,2000,AGEGROUP,AGEGROUP_YEARS0-4,0-4 years of age,0.14575,0.1
CM_03,Number of neonatal deaths,1978,1978,1978,SEX,SEX_BTSX,Both sexes,190049.0,190 049 [167 720-216 140]
MORT_200,Deaths per 1 000 live births,2005,2005,2005,AGEGROUP,AGEGROUP_YEARS0-4,0-4 years of age,3.21538,3.2
MORT_200,Deaths per 1 000 live births,2001,2001,2001,AGEGROUP,AGEGROUP_YEARS0-4,0-4 years of age,3.61264,3.6
CM_02,Number of infant deaths,1982,1982,1982,SEX,SEX_FMLE,Female,169303.0,169 303 [154 613-184 374]
MORT_300,Distribution of causes of death among children aged < 5 years (%),2003,2003,2003,AGEGROUP,AGEGROUP_YEARS0-4,0-4 years of age,0.02874,0
MORT_100,"Number of deaths in children aged <5 years, by cause",2008,2008,2008,SEX,SEX_BTSX,Both sexes,2531.33425,2531.3
MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),2021,2021,2021,SEX,SEX_FMLE,Female,57.637925642,57.6 [42.5-79.6]
MORT_100,"Number of deaths in children aged <5 years, by cause",2011,2011,2011,SEX,SEX_BTSX,Both sexes,48591.23696,48591.2
MORT_300,Distribution of causes of death among children aged < 5 years (%),2013,2013,2013,AGEGROUP,AGEGROUP_MONTHS1-59,1-59 months,0.19124,0.2
MORT_300,Distribution of causes of death among children aged < 5 years (%),2016,2016,2016,AGEGROUP,AGEGROUP_YEARS0-4,0-4 years of age,0.11588,0.1
MORT_300,Distribution of causes of death among children aged < 5 years (%),2002,2002,2002,AGEGROUP,AGEGROUP_YEARS0-4,0-4 years of age,0.12982,0.1
MORT_300,Distribution of causes of death among children aged < 5 years (%),2004,2004,2004,AGEGROUP,AGEGROUP_DAYS0-27,0-27 days,0.0532,0.1
MORT_100,"Number of deaths in children aged <5 years, by cause",2009,2009,2009,SEX,SEX_BTSX,Both sexes,39899.325547772,39 899
MORT_300,Distribution of causes of death among children aged < 5 years (%),2010,2010,2010,AGEGROUP,AGEGROUP_MONTHS1-59,1-59 months,0.03373,0
MORT_100,"Number of deaths in children aged <5 years, by cause",2015,2015,2015,SEX,SEX_BTSX,Both sexes,53924.50117221732,9210.405471956225
MORT_200,Deaths per 1 000 live births,2000,2000,2000,AGEGROUP,AGEGROUP_YEARS0-4,0-4 years of age,4.90419,4.9
DEATHADO,Number of deaths among adolescents (10 to 19 years of age),1990,1990,1990,SEX,SEX_BTSX,Both sexes,34325.0,34 325 [23 926-47 181]
DEATHADO,Number of deaths among adolescents (10 to 19 years of age),2005,2005,2005,SEX,SEX_BTSX,Both sexes,32743.0,32 743 [27 555-38 899]
MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),1978,1978,1978,SEX,SEX_BTSX,Both sexes,112.377741016,112.4 [102.5-122.9]
MORT_100,"Number of deaths in children aged <5 years, by cause",2013,2013,2013,SEX,SEX_BTSX,Both sexes,4381.38885,4381.4
MORT_300,Distribution of causes of death among children aged < 5 years (%),2006,2006,2006,AGEGROUP,AGEGROUP_DAYS0-27,0-27 days,0.07991,0.1
MORT_100,"Number of deaths in children aged <5 years, by cause",2014,2014,2014,SEX,SEX_BTSX,Both sexes,48323.33319,48323.3
CHILDDEATH5TO14,Number of deaths among children 5 to 14 years of age,2020,2020,2020,SEX,SEX_FMLE,Female,55996.0,55 996 [44 683-73 307]
MORT_100,"Number of deaths in children aged <5 years, by cause",2008,2008,2008,SEX,SEX_BTSX,Both sexes,13668.569259644,13 669
MDG_0000000007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),1992,1992,1992,SEX,SEX_BTSX,Both sexes,256.030058549,256.0 [230.5-283.3]
MORT_100,"Number of deaths in children aged <5 years, by cause",2011,2011,2011,SEX,SEX_BTSX,Both sexes,0.0,0.0
MORTADO,Adolescent mortality rate (per 1 000 age specific cohort),1992,1992,1992,SEX,SEX_MLE,Male,28.003703409,28.0 [20.4-36.5]
CM_01,Number of under-five deaths,1991,1991,1991,SEX,SEX_BTSX,Both sexes,215540.0,215 540 [193 565-239 019]
MORT_300,Distribution of causes of death among children aged < 5 years (%),2008,2008,2008,AGEGROUP,AGEGROUP_DAYS0-27,0-27 days,0.05594,0.1
MORT_200,Deaths per 1 000 live births,2000,2000,2000,AGEGROUP,AGEGROUP_YEARS0-4,0-4 years of age,5.21947,5.2
CM_03,Number of neonatal deaths,2013,2013,2013,SEX,SEX_BTSX,Both sexes,273794.0,273 794 [236 368-316 162]
CM_03,Number of neonatal deaths,2002,2002,2002,SEX,SEX_BTSX,Both sexes,257481.0,257 481 [230 910-285 073]
CM_01,Number of under-five deaths,2003,2003,2003,SEX,SEX_FMLE,Female,435151.0,435 151 [407 653-465 645]
MORT_300,Distribution of causes of death among children aged < 5 years (%),2008,2008,2008,AGEGROUP,AGEGROUP_YEARS0-4,0-4 years of age,0.02354,0
MORT_100,"Number of deaths in children aged <5 years, by cause",2016,2016,2016,SEX,SEX_BTSX,Both sexes,0.0,0.0
MORTADO,Adolescent mortality rate (per 1 000 age specific cohort),1992,1992,1992,SEX,SEX_FMLE,Female,16.450441178,16.5 [11.6-22.6]
MORT_300,Distribution of causes of death among children aged < 5 years (%),2002,2002,2002,AGEGROUP,AGEGROUP_MONTHS1-59,1-59 months,0.0379,0
MORT_300,Distribution of causes of death among children aged < 5 years (%),2014,2014,2014,AGEGROUP,AGEGROUP_YEARS0-4,0-4 years of age,0.12901,0.1
MORT_200,Deaths per 1 000 live births,2006,2006,2006,AGEGROUP,AGEGROUP_MONTHS1-59,1-59 months,31.33032,31.3
MORT_100,"Number of deaths in children aged <5 years, by cause",2011,2011,2011,SEX,SEX_BTSX,Both sexes,204.10397,204.1
MORT_100,"Number of deaths in children aged <5 years, by cause",2004,2004,2004,SEX,SEX_BTSX,Both sexes,4776.98691,4777.0
MORT_300,Distribution of causes of death among children aged < 5 years (%),2012,2012,2012,AGEGROUP,AGEGROUP_YEARS0-4,0-4 years of age,0.19246,0.2
MORT_100,"Number of deaths in children aged <5 years, by cause",2003,2003,2003,SEX,SEX_BTSX,Both sexes,53924.50117221732,9210.405471956225
CM_01,Number of under-five deaths,1996,1996,1996,SEX,SEX_BTSX,Both sexes,171736.0,171 736 [153 566-192 079]
MORT_200,Deaths per 1 000 live births,2012,2012,2012,AGEGROUP,AGEGROUP_DAYS0-27,0-27 days,4.59613,4.6
MDG_0000000007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),1980,1980,1980,SEX,SEX_BTSX,Both sexes,213.217640756,213.2 [195.0-232.2]
MORT_200,Deaths per 1 000 live births,2015,2015,2015,AGEGROUP,AGEGROUP_DAYS0-27,0-27 days,1.30025,1.3
MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),1974,1974,1974,SEX,SEX_MLE,Male,138.261448138,138.3 [124.0-154.6]
MDG_0000000007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),2019,2019,2019,SEX,SEX_BTSX,Both sexes,59.3178952,59.3 [45.7-78.2]
MORTADO,Adolescent mortality rate (per 1 000 age specific cohort),2022,2022,2022,SEX,SEX_BTSX,Both sexes,6.615637005,6.6 [1.4-14.0]
CM_02,Number of infant deaths,2016,2016,2016,SEX,SEX_FMLE,Female,228869.0,228 869 [193 687-273 298]
MORT_100,"Number of deaths in children aged <5 years, by cause",2015,2015,2015,SEX,SEX_BTSX,Both sexes,8635.188232422,8635
MORTADO,Adolescent mortality rate (per 1 000 age specific cohort),2023,2023,2023,SEX,SEX_MLE,Male,8.159612062,8.2 [5.1-12.2]
MORT_300,Distribution of causes of death among children aged < 5 years (%),2003,2003,2003,AGEGROUP,AGEGROUP_DAYS0-27,0-27 days,0.00106,0
MDG_0000000007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),1992,1992,1992,SEX,SEX_MLE,Male,217.499116331,217.5 [203.2-232.4]
MORT_300,Distribution of causes of death among children aged < 5 years (%),2017,2017,2017,AGEGROUP,AGEGROUP_DAYS0-27,0-27 days,0.00077,0
MORT_100,"Number of deaths in children aged <5 years, by cause",2021,2021,2021,SEX,SEX_BTSX,Both sexes,12017.13239,12017.1
DEATHADO,Number of deaths among adolescents (10 to 19 years of age),2008,2008,2008,SEX,SEX_MLE,Male,33315.0,33 315 [25 427-41 933]
MORT_300,Distribution of causes of death among children aged < 5 years (%),2004,2004,2004,AGEGROUP,AGEGROUP_DAYS0-27,0-27 days,0.00097,0
MORTADO,Adolescent mortality rate (per 1 000 age specific cohort),2003,2003,2003,SEX,SEX_FMLE,Female,12.015216029,12.0 [9.9-14.5]
CM_02,Number of infant deaths,2005,2005,2005,SEX,SEX_MLE,Male,284914.0,284 914 [266 140-305 185]
CM_04,Number of deaths among children ages 5 to 9 years,2022,2022,2022,SEX,SEX_FMLE,Female,37445.0,37 445 [29 267-45 550]
MORT_200,Deaths per 1 000 live births,2002,2002,2002,AGEGROUP,AGEGROUP_MONTHS1-59,1-59 months,1.50214,1.5
MDG_0000000007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),2005,2005,2005,SEX,SEX_BTSX,Both sexes,197.863239852,197.9 [182.5-214.6]
MORT_100,"Number of deaths in children aged <5 years, by cause",2014,2014,2014,SEX,SEX_BTSX,Both sexes,0.0,0.0
MDG_0000000007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),2017,2017,2017,SEX,SEX_BTSX,Both sexes,97.777557047,97.8 [80.1-121.1]
MORT_100,"Number of deaths in children aged <5 years, by cause",2020,2020,2020,SEX,SEX_BTSX,Both sexes,78357.93289,78357.9
MORT_200,Deaths per 1 000 live births,2012,2012,2012,AGEGROUP,AGEGROUP_DAYS0-27,0-27 days,0.0,0
MORT_300,Distribution of causes of death among children aged < 5 years (%),2013,2013,2013,AGEGROUP,AGEGROUP_DAYS0-27,0-27 days,0.01317,0
MORT_300,Distribution of causes of death among children aged < 5 years (%),2012,2012,2012,AGEGROUP,AGEGROUP_DAYS0-27,0-27 days,0.00083,0
MDG_0000000007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),2005,2005,2005,SEX,SEX_BTSX,Both sexes,154.464918591,154.5 [144.4-165.4]
MORT_200,Deaths per 1 000 live births,2009,2009,2009,AGEGROUP,AGEGROUP_DAYS0-27,0-27 days,0.32813,0.3
MORT_100,"Number of deaths in children aged <5 years, by cause",2002,2002,2002,SEX,SEX_BTSX,Both sexes,39857.55433,39857.6
MORT_200,Deaths per 1 000 live births,2014,2014,2014,AGEGROUP,AGEGROUP_MONTHS1-59,1-59 months,5.08683,5.1
MORT_100,"Number of deaths in children aged <5 years, by cause",2016,2016,2016,SEX,SEX_BTSX,Both sexes,53924.50117221732,9210.405471956225
CM_03,Number of neonatal deaths,2005,2005,2005,SEX,SEX_BTSX,Both sexes,256721.0,256 721 [228 970-285 418]
WHOSIS_000016,Mortality rate among children ages 5 to 9 years (per 1000 children aged 5),1992,1992,1992,SEX,SEX_BTSX,Both sexes,24.162516538,24.2 [21.3-27.9]
CM_02,Number of infant deaths,2011,2011,2011,SEX,SEX_BTSX,Both sexes,511266.0,511 266 [465 814-562 540]
CM_01,Number of under-five deaths,1998,1998,1998,SEX,SEX_BTSX,Both sexes,102859.0,102 859 [91 058-115 652]
MORT_300,Distribution of causes of death among children aged < 5 years (%),2006,2006,2006,AGEGROUP,AGEGROUP_YEARS0-4,0-4 years of age,0.02274,0
CM_01,Number of under-five deaths,2022,2022,2022,SEX,SEX_MLE,Male,419192.0,419 192 [300 170-599 197]
MORT_200,Deaths per 1 000 live births,2009,2009,2009,AGEGROUP,AGEGROUP_MONTHS1-59,1-59 months,3.41925,3.4
CHILDDEATH5TO14,Number of deaths among children 5 to 14 years of age,1997,1997,1997,SEX,SEX_FMLE,Female,50548.0,50 548 [44 711-57 396]
CM_04,Number of deaths among children ages 5 to 9 years,2013,2013,2013,SEX,SEX_FMLE,Female,38765.0,38 765 [33 272-44 695]
MORT_100,"Number of deaths in children aged <5 years, by cause",2021,2021,2021,SEX,SEX_BTSX,Both sexes,120370.0277,120370.0
MORTADO,Adolescent mortality rate (per 1 000 age specific cohort),1990,1990,1990,SEX,SEX_BTSX,Both sexes,17.215204672,17.2 [12.0-23.7]
MORT_200,Deaths per 1 000 live births,2009,2009,2009,AGEGROUP,AGEGROUP_DAYS0-27,0-27 days,1.37006,1.4
MORT_300,Distribution of causes of death among children aged < 5 years (%),2005,2005,2005,AGEGROUP,AGEGROUP_YEARS0-4,0-4 years of age,0.0678,0.1
MORT_300,Distribution of causes of death among children aged < 5 years (%),2017,2017,2017,AGEGROUP,AGEGROUP_DAYS0-27,0-27 days,0.07787,0.1
MORTADO,Adolescent mortality rate (per 1 000 age specific cohort),1996,1996,1996,SEX,SEX_MLE,Male,13.785970189,13.8 [10.5-17.8]
CM_04,Number of deaths among children ages 5 to 9 years,2018,2018,2018,SEX,SEX_MLE,Male,42793.0,42 793 [35 059-50 744]
MORT_300,Distribution of causes of death among children aged < 5 years (%),2009,2009,2009,AGEGROUP,AGEGROUP_YEARS0-4,0-4 years of age,0.09938,0.1
MORT_200,Deaths per 1 000 live births,2004,2004,2004,AGEGROUP,AGEGROUP_YEARS0-4,0-4 years of age,16.14832,16.1
MORT_300,Distribution of causes of death among children aged < 5 years (%),2013,2013,2013,AGEGROUP,AGEGROUP_MONTHS1-59,1-59 months,0.03779,0
CM_01,Number of under-five deaths,2002,2002,2002,SEX,SEX_BTSX,Both sexes,164286.0,164 286 [149 339-180 197]
CM_01,Number of under-five deaths,2016,2016,2016,SEX,SEX_BTSX,Both sexes,198135.0,198 135 [166 581-238 072]
WHOSIS_000016,Mortality rate among children ages 5 to 9 years (per 1000 children aged 5),2018,2018,2018,SEX,SEX_FMLE,Female,13.181789185,13.2 [10.8-15.6]
MORT_300,Distribution of causes of death among children aged < 5 years (%),2009,2009,2009,AGEGROUP,AGEGROUP_YEARS0-4,0-4 years of age,0.03763,0
MDG_0000000007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),2016,2016,2016,SEX,SEX_BTSX,Both sexes,62.517441083,62.5 [51.9-76.1]
MORT_300,Distribution of causes of death among children aged < 5 years (%),2006,2006,2006,AGEGROUP,AGEGROUP_MONTHS1-59,1-59 months,0.16293,0.2
DEATHADO,Number of deaths among adolescents (10 to 19 years of age),2013,2013,2013,SEX,SEX_BTSX,Both sexes,35439.0,35 439 [16 848-55 698]
MORT_200,Deaths per 1 000 live births,2007,2007,2007,AGEGROUP,AGEGROUP_DAYS0-27,0-27 days,0.03815,0
MORT_100,"Number of deaths in children aged <5 years, by cause",2005,2005,2005,SEX,SEX_BTSX,Both sexes,2169.56597,2169.6
MORT_300,Distribution of causes of death among children aged < 5 years (%),2007,2007,2007,AGEGROUP,AGEGROUP_DAYS0-27,0-27 days,0.04047,0
MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),2005,2005,2005,SEX,SEX_MLE,Male,91.182674385,91.2 [85.1-97.8]
MORT_200,Deaths per 1 000 live births,2013,2013,2013,AGEGROUP,AGEGROUP_MONTHS1-59,1-59 months,5.92429,5.9
CM_01,Number of under-five deaths,2009,2009,2009,SEX,SEX_BTSX,Both sexes,236238.0,236 238 [214 012-259 757]
MORT_100,"Number of deaths in children aged <5 years, by cause",2004,2004,2004,SEX,SEX_BTSX,Both sexes,11358.788146973,11 359
